run_id,seed,map_size,obstacle_ratio,task_num,method,total_path_length,total_inspection_time,high_priority_avg_response_time,completed_task_num,task_sequence,algorithm_runtime_ms
491,1302,30x30,0.3,10,AStarOnly,153.0,305.0,139.0,10,P5 -> P6 -> P9 -> P3 -> P8 -> P10 -> P7 -> P1 -> P4 -> P2,8.84
492,1302,30x30,0.3,10,Proposed,202.0,386.66666666666674,114.33333333333334,10,P5 -> P9 -> P3 -> P10 -> P7 -> P2 -> P4 -> P6 -> P8 -> P1,8.563
493,1303,30x30,0.3,10,FS,277.0,511.6666666666667,511.6666666666667,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.512
494,1303,30x30,0.3,10,NNF,177.0,345.0,336.6666666666667,10,P4 -> P5 -> P2 -> P3 -> P6 -> P1 -> P8 -> P7 -> P10 -> P9,8.495
495,1303,30x30,0.3,10,AStarOnly,185.0,358.33333333333337,271.6666666666667,10,P4 -> P5 -> P2 -> P6 -> P3 -> P1 -> P7 -> P10 -> P9 -> P8,8.797
496,1303,30x30,0.3,10,Proposed,180.0,350.0,195.0,10,P8 -> P6 -> P3 -> P1 -> P7 -> P10 -> P9 -> P2 -> P4 -> P5,9.622
497,1304,30x30,0.3,10,FS,213.0,405.0,208.33333333333334,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,0.886
498,1304,30x30,0.3,10,NNF,91.0,201.66666666666669,177.7777777777778,10,P6 -> P2 -> P9 -> P8 -> P3 -> P5 -> P7 -> P4 -> P10 -> P1,4.385
499,1304,30x30,0.3,10,AStarOnly,91.0,201.66666666666669,177.7777777777778,10,P6 -> P2 -> P9 -> P8 -> P3 -> P5 -> P7 -> P4 -> P10 -> P1,4.466
500,1304,30x30,0.3,10,Proposed,117.0,245.0,63.33333333333335,10,P6 -> P10 -> P1 -> P5 -> P7 -> P8 -> P3 -> P9 -> P2 -> P4,5.035
501,1305,30x30,0.3,10,FS,388.0,696.6666666666667,251.6666666666667,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,2.906
502,1305,30x30,0.3,10,NNF,112.0,236.6666666666667,116.66666666666669,10,P2 -> P5 -> P10 -> P4 -> P7 -> P9 -> P1 -> P3 -> P6 -> P8,11.416
503,1305,30x30,0.3,10,AStarOnly,112.0,236.6666666666667,116.66666666666669,10,P2 -> P5 -> P10 -> P4 -> P7 -> P9 -> P1 -> P3 -> P6 -> P8,11.048
504,1305,30x30,0.3,10,Proposed,234.0,440.0,80.83333333333334,10,P2 -> P1 -> P7 -> P4 -> P10 -> P3 -> P6 -> P8 -> P9 -> P5,10.716
505,1306,30x30,0.3,10,FS,246.0,460.0,332.5,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.346
506,1306,30x30,0.3,10,NNF,156.0,310.00000000000006,175.83333333333337,10,P2 -> P3 -> P4 -> P6 -> P8 -> P7 -> P1 -> P5 -> P10 -> P9,8.064
507,1306,30x30,0.3,10,AStarOnly,156.0,310.00000000000006,175.83333333333337,10,P2 -> P3 -> P4 -> P6 -> P8 -> P7 -> P1 -> P5 -> P10 -> P9,8.035
508,1306,30x30,0.3,10,Proposed,244.0,456.6666666666667,105.0,10,P3 -> P7 -> P10 -> P2 -> P4 -> P6 -> P8 -> P1 -> P5 -> P9,8.095
509,1307,30x30,0.3,10,FS,248.0,463.33333333333337,131.66666666666669,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.262
510,1307,30x30,0.3,10,NNF,96.0,210.0,66.66666666666667,10,P5 -> P2 -> P9 -> P3 -> P6 -> P10 -> P4 -> P1 -> P8 -> P7,6.579
511,1307,30x30,0.3,10,AStarOnly,96.0,210.0,66.66666666666667,10,P5 -> P2 -> P9 -> P3 -> P6 -> P10 -> P4 -> P1 -> P8 -> P7,6.778
512,1307,30x30,0.3,10,Proposed,134.0,273.3333333333333,50.0,10,P5 -> P3 -> P9 -> P2 -> P1 -> P4 -> P8 -> P7 -> P6 -> P10,6.873
513,1308,30x30,0.3,10,FS,246.0,460.00000000000006,282.22222222222223,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.155
514,1308,30x30,0.3,10,NNF,88.0,196.66666666666666,28.333333333333332,10,P5 -> P8 -> P6 -> P4 -> P9 -> P3 -> P10 -> P2 -> P7 -> P1,6.513
515,1308,30x30,0.3,10,AStarOnly,88.0,196.66666666666666,28.333333333333332,10,P5 -> P8 -> P6 -> P4 -> P9 -> P3 -> P10 -> P2 -> P7 -> P1,6.748
516,1308,30x30,0.3,10,Proposed,166.0,326.6666666666667,131.11111111111111,10,P8 -> P6 -> P9 -> P2 -> P10 -> P7 -> P1 -> P3 -> P4 -> P5,6.517
517,1309,30x30,0.3,10,FS,13.0,46.66666666666667,46.66666666666667,5,P1 -> P2 -> P3 -> P4 -> P5,0.086
518,1309,30x30,0.3,10,NNF,5.0,33.333333333333336,20.0,5,P4 -> P2 -> P5 -> P1 -> P3,0.106
519,1309,30x30,0.3,10,AStarOnly,7.0,36.666666666666664,6.666666666666667,5,P5 -> P1 -> P3 -> P2 -> P4,0.11
520,1309,30x30,0.3,10,Proposed,9.0,40.0,15.0,5,P2 -> P5 -> P1 -> P3 -> P4,0.135
521,1310,30x30,0.3,10,FS,273.0,505.00000000000006,83.33333333333334,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.62
522,1310,30x30,0.3,10,NNF,133.0,271.6666666666667,125.0,10,P3 -> P5 -> P8 -> P2 -> P10 -> P1 -> P4 -> P9 -> P6 -> P7,10.446
523,1310,30x30,0.3,10,AStarOnly,133.0,271.6666666666667,125.0,10,P3 -> P5 -> P8 -> P2 -> P10 -> P1 -> P4 -> P9 -> P6 -> P7,10.297
524,1310,30x30,0.3,10,Proposed,170.0,333.33333333333337,100.0,10,P8 -> P2 -> P1 -> P4 -> P10 -> P5 -> P3 -> P7 -> P6 -> P9,9.726
525,1311,30x30,0.3,10,FS,247.0,461.66666666666674,206.66666666666669,10,P1 -> P2 -> P3 -> P4 -> P5 -> P6 -> P7 -> P8 -> P9 -> P10,1.156
526,1311,30x30,0.3,10,NNF,129.0,265.0,70.83333333333334,10,P4 -> P8 -> P1 -> P7 -> P2 -> P3 -> P6 -> P5 -> P9 -> P10,6.056
527,1311,30x30,0.3,10,AStarOnly,129.0,265.0,70.83333333333334,10,P4 -> P8 -> P1 -> P7 -> P2 -> P3 -> P6 -> P9 -> P5 -> P10,6.07
528,1311,30x30,0.3,10,Proposed,156.0,310.00000000000006,39.16666666666667,10,P8 -> P2 -> P3 -> P6 -> P9 -> P5 -> P7 -> P10 -> P1 -> P4,6.508
529,1312,30x30,0.3,10,FS,0.0,0.0,0.0,0,,0.005
530,1312,30x30,0.3,10,NNF,0.0,0.0,0.0,0,,0.002
531,1312,30x30,0.3,10,AStarOnly,0.0,0.0,0.0,0,,0.002
