seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,priority_response_efficiency,task_sequence
7,DRF-RH-NoPathTimePenalty,20,280.0,566.6666666666666,90.00000000000001,199.76165815932902,60.0,82.69355999073014,0.21428571428571427,P12->P20->P11->P16->P13->P15->P3->P4->P6->P18->P1->P5->P10->P9->P14->P2->P7->P8->P17->P19
7,DRF-RH-NoPriorityCompletion,20,245.0,508.33333333333326,90.00000000000001,194.2690384608808,60.0,81.8474050029181,0.24489795918367346,P12->P20->P11->P16->P13->P15->P3->P4->P6->P18->P1->P5->P10->P7->P2->P14->P9->P19->P8->P17
7,DRF-RH-NoDeadlinePenalty,20,220.0,466.66666666666663,84.58333333333334,169.57228607282872,40.0,83.05136900162324,0.18181818181818182,P12->P3->P15->P13->P16->P11->P20->P6->P5->P10->P4->P18->P1->P17->P8->P7->P2->P14->P9->P19
7,DRF-RH-NoTopKBonus,20,226.0,476.66666666666663,87.91666666666666,172.62766736663602,40.0,81.54544496210292,0.17699115044247787,P12->P3->P15->P13->P4->P11->P20->P6->P5->P10->P1->P18->P8->P17->P16->P2->P7->P14->P9->P19
7,DRF-RH-NoHybridPool,20,220.0,466.66666666666663,84.58333333333334,169.57228607282872,40.0,75.74292697245255,0.18181818181818182,P12->P3->P15->P13->P16->P11->P20->P6->P5->P10->P4->P18->P1->P17->P8->P7->P2->P14->P9->P19
7,DRF-RH-NoDynamicRiskField,20,220.0,466.66666666666663,84.58333333333334,169.57228607282872,40.0,79.66118800686672,0.18181818181818182,P12->P3->P15->P13->P16->P11->P20->P6->P5->P10->P4->P18->P1->P17->P8->P7->P2->P14->P9->P19
8,DRF-RH-Full,20,266.0,543.3333333333334,39.16666666666667,195.11026235602398,40.0,86.85817796504125,0.15037593984962405,P6->P4->P19->P11->P16->P20->P12->P10->P7->P17->P18->P8->P3->P13->P9->P14->P1->P2->P5->P15
8,DRF-RH-Horizon1,20,206.0,443.33333333333326,39.16666666666667,188.82595993625944,40.0,35.308488993905485,0.1941747572815534,P6->P4->P19->P11->P15->P5->P8->P18->P17->P10->P12->P7->P1->P20->P16->P2->P13->P3->P9->P14
8,DRF-RH-BaseScoreOnly,20,440.0,833.3333333333333,135.83333333333334,325.7353501424412,20.0,86.48688497487456,0.045454545454545456,P19->P11->P18->P10->P8->P4->P16->P12->P6->P17->P9->P7->P13->P20->P3->P15->P5->P14->P2->P1
8,DRF-RH-NoPathTimePenalty,20,300.0,599.9999999999999,34.16666666666667,216.93131769630142,40.0,86.58613002626225,0.13333333333333333,P4->P19->P11->P18->P8->P6->P10->P12->P7->P9->P16->P20->P13->P3->P17->P5->P15->P14->P1->P2
