seed,weight_group,alpha,beta,lambda_abnormal,gamma,delta,eta,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,task_sequence
16,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,249.0,515.0,113.33333333333334,P16->P18->P12->P19->P4->P1->P14->P11->P20->P9->P3->P15->P17->P8->P7->P5->P2->P10->P13->P6
16,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,250.0,516.6666666666667,176.66666666666669,P6->P16->P18->P12->P19->P14->P1->P2->P4->P10->P11->P20->P3->P9->P7->P15->P17->P8->P5->P13
16,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,257.0,528.3333333333334,70.0,P4->P19->P12->P11->P20->P9->P3->P18->P16->P15->P17->P8->P7->P1->P14->P2->P5->P10->P13->P6
16,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,234.0,490.0,113.33333333333334,P16->P18->P12->P19->P4->P1->P14->P2->P11->P10->P13->P6->P15->P17->P8->P7->P9->P20->P3->P5
16,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,281.0,568.3333333333334,101.66666666666667,P15->P4->P19->P12->P18->P16->P17->P8->P20->P9->P3->P11->P1->P14->P2->P5->P10->P13->P6->P7
17,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,230.0,483.3333333333333,200.0,P10->P9->P5->P12->P2->P20->P18->P1->P14->P3->P6->P17->P4->P11->P8->P7->P13->P19->P15->P16
17,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,199.0,431.66666666666663,244.99999999999997,P10->P9->P5->P4->P1->P14->P3->P6->P17->P7->P13->P18->P12->P2->P20->P16->P19->P15->P8->P11
17,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,271.0,551.6666666666667,150.0,P10->P2->P12->P20->P18->P17->P11->P5->P4->P1->P14->P3->P6->P9->P16->P19->P8->P13->P7->P15
17,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,203.0,438.3333333333334,236.66666666666669,P10->P9->P5->P11->P12->P2->P20->P16->P18->P1->P14->P3->P6->P17->P7->P13->P4->P8->P19->P15
17,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,271.0,551.6666666666667,150.0,P10->P2->P12->P20->P18->P17->P11->P5->P4->P1->P14->P3->P6->P9->P16->P19->P8->P13->P7->P15
18,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,224.0,473.3333333333334,215.00000000000003,P18->P9->P7->P16->P10->P5->P19->P15->P3->P1->P14->P11->P6->P12->P8->P20->P2->P13->P17->P4
18,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,192.0,420.0,263.3333333333333,P18->P9->P12->P6->P14->P11->P10->P16->P1->P3->P15->P19->P5->P7->P2->P20->P8->P13->P17->P4
18,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,291.0,585.0,149.44444444444443,P7->P16->P5->P19->P3->P1->P14->P18->P9->P12->P6->P4->P15->P10->P2->P20->P11->P8->P13->P17
18,Balanced,0.22,0.18,0.15,0.27,0.12,0.06,20,230.0,483.3333333333334,254.44444444444449,P18->P9->P7->P5->P19->P15->P3->P1->P16->P10->P14->P11->P6->P12->P8->P20->P2->P13->P17->P4
18,WeakPathPenalty,0.3,0.25,0.2,0.12,0.08,0.05,20,291.0,585.0,149.44444444444443,P7->P16->P5->P19->P3->P1->P14->P18->P9->P12->P6->P4->P15->P10->P2->P20->P11->P8->P13->P17
19,Default,0.25,0.2,0.2,0.2,0.1,0.05,20,280.0,566.6666666666666,170.0,P4->P16->P3->P2->P15->P17->P5->P14->P10->P20->P8->P12->P11->P18->P6->P7->P19->P13->P1->P9
19,PathPriority,0.15,0.15,0.1,0.35,0.15,0.1,20,198.0,430.0,82.0,P4->P16->P18->P10->P20->P12->P8->P9->P19->P13->P11->P2->P3->P14->P15->P17->P5->P1->P6->P7
19,TaskPriority,0.35,0.25,0.15,0.15,0.07,0.03,20,274.0,556.6666666666667,107.66666666666666,P4->P16->P20->P8->P10->P3->P2->P15->P17->P5->P18->P11->P12->P13->P6->P7->P14->P1->P19->P9
