seed,method,completed_task_num,total_path_length,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,lambda_mean,lambda_min,lambda_max,lambda_std,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
10,A-RH-PADS-L,19,195.0,195.0,179.31927861863448,356.2000000000001,451.2,173.82857142857142,185.4426584199246,133.46260796372263,100.0,0.9195860441981255,0.5862028818731725,0.5462091202533359,0.6490937106590873,0.03013569870491367,1,0,0,1,P7->P8->P11->P4->P16->P14->P2->P1->P20->P19->P15->P13->P5->P10->P9->P3->P12->P18->P17
10,RH-PADS-L,19,180.0,180.0,163.96696412022902,326.8,421.8,111.60000000000001,150.82655031408586,122.76353747884025,100.0,0.9109275784457168,0.0,0.0,0.0,0.0,1,0,0,1,P10->P13->P5->P8->P7->P11->P16->P19->P2->P20->P4->P14->P1->P15->P17->P9->P18->P3->P12
10,AStarOnly,19,121.0,121.0,110.32134997141439,228.50000000000003,323.5,186.95714285714283,196.11346437827768,93.57723105524173,100.0,0.9117466939786314,0.0,0.0,0.0,0.0,1,0,0,1,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P2->P1->P20->P15->P19
10,TSP-2opt,19,118.0,118.0,106.21138718258463,216.8,311.79999999999995,176.9857142857143,190.10542315797846,91.65288520720402,100.0,0.9000965015473273,0.0,0.0,0.0,0.0,1,0,0,1,P10->P9->P17->P13->P5->P18->P3->P12->P8->P7->P11->P14->P4->P2->P1->P20->P15->P19->P16
10,Greedy-PADS,19,156.0,156.0,143.9021148329373,293.2,388.2000000000001,152.84285714285716,170.71026380398308,110.8779849380755,100.0,0.9224494540572903,0.0,0.0,0.0,0.0,1,0,0,1,P13->P5->P10->P9->P17->P7->P8->P11->P4->P2->P20->P1->P16->P14->P19->P15->P3->P18->P12
10,Priority-Greedy,19,244.0,244.0,222.2474803087107,432.5000000000001,527.5,159.7,188.50079093359705,142.95706038125758,100.0,0.9108503291340602,0.0,0.0,0.0,0.0,1,0,0,1,P7->P8->P11->P16->P19->P20->P2->P4->P13->P5->P10->P17->P9->P3->P14->P1->P15->P18->P12
11,A-RH-PADS-L,20,219.0,219.0,201.02273206022676,396.3,496.3,125.38571428571429,170.7496954084924,145.5260326857704,100.0,0.9179120185398482,0.5581481270092364,0.478892887564468,0.6149406107923132,0.039526475971589224,0,0,0,0,P3->P20->P13->P2->P18->P8->P10->P7->P6->P9->P15->P4->P1->P11->P19->P17->P12->P5->P16->P14
11,RH-PADS-L,20,216.0,216.0,196.53390051922838,394.40000000000003,494.40000000000003,109.54285714285713,164.12353481028254,158.1554746525612,100.0,0.9098791690705018,0.0,0.0,0.0,0.0,0,0,0,0,P3->P20->P13->P2->P18->P8->P7->P10->P4->P15->P6->P9->P19->P16->P11->P17->P12->P14->P1->P5
11,AStarOnly,20,144.0,144.0,127.47016021890741,255.89999999999998,355.90000000000003,145.6,170.62808246864637,104.37608325393474,100.0,0.8852094459646348,0.0,0.0,0.0,0.0,0,0,0,0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P6->P9->P16->P19->P11->P17->P12
11,TSP-2opt,20,144.0,144.0,127.47016021890741,255.89999999999998,355.90000000000003,145.6,170.62808246864637,104.37608325393474,100.0,0.8852094459646348,0.0,0.0,0.0,0.0,0,0,0,0,P14->P3->P20->P13->P5->P2->P18->P8->P10->P7->P15->P4->P1->P6->P9->P16->P19->P11->P17->P12
11,Greedy-PADS,20,219.0,219.0,200.132192276994,394.6,494.59999999999997,107.8142857142857,171.0730528346722,147.52814407171175,100.0,0.913845626835589,0.0,0.0,0.0,0.0,0,0,0,0,P3->P20->P13->P2->P18->P8->P10->P7->P4->P6->P9->P19->P11->P17->P12->P5->P1->P15->P16->P14
11,Priority-Greedy,20,255.0,255.0,233.82034402642947,462.40000000000003,562.4000000000001,131.07142857142858,217.622306023615,171.42918128047722,100.0,0.916942525593841,0.0,0.0,0.0,0.0,0,0,0,0,P3->P13->P20->P2->P6->P9->P4->P10->P7->P19->P17->P18->P8->P15->P1->P14->P5->P12->P11->P16
12,A-RH-PADS-L,20,196.0,196.0,177.12971636710438,352.9,452.9,122.54444444444442,153.901805079458,139.6154188104456,100.0,0.903723042689308,0.5753874523120392,0.5229506635465075,0.63506861705913,0.03500198337562401,0,0,0,0,P7->P19->P16->P14->P18->P17->P12->P6->P10->P20->P4->P9->P5->P2->P3->P1->P8->P15->P11->P13
12,RH-PADS-L,20,225.0,225.0,206.21593468383907,404.59999999999997,504.6000000000001,94.44444444444446,149.74087673327338,145.24415846842126,100.0,0.916515265261507,0.0,0.0,0.0,0.0,0,0,0,0,P7->P19->P16->P14->P18->P12->P6->P10->P4->P20->P13->P5->P2->P3->P1->P17->P8->P15->P11->P9
12,AStarOnly,20,163.0,163.0,147.59647835776428,294.5,394.5,170.81111111111107,176.83934466814816,110.43490674979702,100.0,0.9054998672255478,0.0,0.0,0.0,0.0,0,0,0,0,P7->P19->P3->P1->P8->P18->P17->P12->P6->P10->P20->P4->P11->P13->P9->P5->P2->P14->P16->P15
12,TSP-2opt,20,159.0,159.0,140.00685640525734,283.8,383.79999999999995,175.2222222222222,180.51148387713442,115.35391220880302,100.0,0.8805462666997317,0.0,0.0,0.0,0.0,0,0,0,0,P7->P19->P3->P1->P18->P17->P12->P15->P6->P10->P20->P4->P11->P13->P9->P5->P2->P14->P16->P8
12,Greedy-PADS,20,212.0,212.0,192.14677137588956,380.3999999999999,480.40000000000003,149.8,174.0443363469759,146.60479789687173,100.0,0.9063526951692904,0.0,0.0,0.0,0.0,0,0,0,0,P19->P16->P14->P18->P17->P12->P6->P10->P20->P4->P5->P9->P2->P3->P7->P1->P8->P15->P13->P11
12,Priority-Greedy,20,299.0,299.0,273.04985901111195,533.3000000000001,633.3000000000002,189.0888888888889,240.08363577382912,193.11154771476475,100.0,0.9132102308063945,0.0,0.0,0.0,0.0,0,0,0,0,P16->P18->P6->P19->P7->P3->P12->P20->P4->P13->P5->P2->P14->P17->P10->P15->P1->P9->P11->P8
13,A-RH-PADS-L,20,222.0,222.0,199.4535413072671,391.8999999999999,491.8999999999999,197.1833333333333,202.64575621782762,139.4383235809755,100.0,0.8984393752579599,0.5731336503165393,0.48739453138489197,0.6314358553361423,0.04936967889689953,0,0,0,0,P13->P10->P11->P9->P18->P7->P6->P14->P3->P19->P4->P12->P2->P5->P16->P8->P20->P15->P1->P17
13,RH-PADS-L,20,244.0,244.0,225.4639722595815,439.70000000000005,539.7,141.56666666666666,204.4605657808104,147.09648249027006,100.0,0.9240326731950061,0.0,0.0,0.0,0.0,0,0,0,0,P8->P13->P11->P9->P2->P12->P4->P3->P7->P6->P14->P18->P15->P16->P10->P20->P1->P19->P17->P5
