map_type,seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,algorithm_runtime_ms,task_sequence
corridor,12,DRF-RH-Light,20,242.0,503.33333333333337,120.55555555555556,168.59955942716135,20.0,42.21202799817547,P13->P11->P12->P8->P4->P3->P15->P14->P2->P9->P6->P1->P7->P18->P5->P10->P20->P19->P16->P17
corridor,13,AStarOnly,20,180.0,400.00000000000006,180.00000000000003,180.73029971045244,20.0,24.84329999424517,P17->P5->P2->P8->P19->P1->P14->P15->P3->P12->P4->P9->P11->P20->P10->P16->P6->P7->P18->P13
corridor,13,Proposed-Balanced,20,285.0,575.0000000000001,176.25,211.23254244027842,20.0,25.796931993681937,P17->P5->P19->P1->P8->P2->P14->P11->P9->P12->P4->P20->P16->P10->P6->P18->P7->P13->P3->P15
corridor,13,RH-Proposed-v2,20,238.0,496.66666666666674,112.08333333333334,193.01794698890015,20.0,517.9462300147861,P17->P8->P19->P1->P14->P12->P9->P4->P11->P20->P18->P10->P16->P6->P7->P3->P2->P5->P15->P13
corridor,13,Priority-Greedy,20,365.0,708.3333333333334,159.58333333333334,278.7147391225382,60.0,25.935775018297136,P11->P20->P16->P9->P12->P4->P19->P1->P5->P17->P8->P14->P3->P2->P18->P7->P6->P13->P10->P15
corridor,13,TSP-2opt,20,181.0,401.6666666666667,158.33333333333334,169.38726973642622,0.0,30.128394020721316,P5->P17->P2->P15->P14->P1->P19->P8->P12->P9->P4->P11->P7->P6->P16->P10->P20->P18->P13->P3
corridor,13,DRF-RH-Full,20,238.0,496.66666666666674,112.08333333333334,193.01794698890015,20.0,70.86539198644459,P17->P8->P19->P1->P14->P12->P9->P4->P11->P20->P18->P10->P16->P6->P7->P3->P2->P5->P15->P13
corridor,13,DRF-RH-Light,20,271.0,551.6666666666666,145.0,207.93232321604995,20.0,47.46680299285799,P17->P19->P1->P14->P8->P12->P11->P20->P18->P10->P7->P16->P6->P4->P9->P5->P2->P3->P13->P15
corridor,14,AStarOnly,20,151.0,351.6666666666667,215.0,193.26288843959057,20.0,24.224038003012538,P3->P5->P20->P14->P16->P12->P6->P17->P15->P1->P2->P19->P10->P4->P11->P18->P7->P13->P8->P9
corridor,14,Proposed-Balanced,20,287.0,578.3333333333333,158.0,211.40568748455172,40.0,24.606973049230874,P20->P14->P16->P4->P10->P13->P7->P18->P8->P2->P1->P6->P17->P5->P3->P15->P12->P19->P11->P9
corridor,14,RH-Proposed-v2,20,229.0,481.6666666666667,95.33333333333334,161.54252323500745,80.0,507.38154602004215,P20->P16->P6->P4->P13->P8->P7->P18->P10->P2->P1->P14->P3->P17->P15->P5->P12->P19->P11->P9
corridor,14,Priority-Greedy,20,326.0,643.3333333333335,131.00000000000003,221.92985232939392,80.0,24.79036303702742,P20->P4->P13->P16->P6->P2->P1->P7->P10->P8->P18->P9->P19->P14->P3->P17->P15->P12->P5->P11
corridor,14,TSP-2opt,20,153.0,355.0,173.66666666666669,165.33801393407052,20.0,29.721400002017617,P3->P5->P20->P14->P1->P2->P9->P8->P13->P7->P18->P11->P4->P10->P19->P16->P12->P6->P15->P17
corridor,14,DRF-RH-Full,20,229.0,481.6666666666667,90.33333333333334,159.3508555399896,80.0,72.9535139980726,P20->P16->P6->P4->P7->P13->P8->P18->P10->P2->P1->P14->P3->P17->P15->P5->P12->P19->P11->P9
corridor,14,DRF-RH-Light,20,224.0,473.3333333333333,90.33333333333334,156.19344750986986,80.0,46.522076008841395,P20->P16->P6->P4->P7->P13->P8->P9->P18->P10->P2->P1->P14->P3->P17->P15->P5->P12->P19->P11
corridor,15,AStarOnly,20,166.0,376.66666666666663,242.08333333333334,213.19588967299902,20.0,19.14437796222046,P12->P7->P4->P18->P17->P10->P8->P1->P19->P13->P16->P5->P3->P20->P9->P11->P14->P15->P2->P6
corridor,15,Proposed-Balanced,20,291.0,585.0,227.5,228.70809072750296,40.0,19.633723015431315,P4->P8->P15->P18->P7->P10->P1->P13->P16->P19->P5->P9->P20->P11->P14->P2->P6->P3->P17->P12
corridor,15,RH-Proposed-v2,20,250.0,516.6666666666667,138.75,167.94668650572922,20.0,435.61997200595215,P4->P15->P1->P8->P16->P11->P9->P14->P2->P18->P7->P12->P10->P13->P20->P3->P5->P19->P6->P17
corridor,15,Priority-Greedy,20,279.0,565.0000000000001,96.25,176.5142675918582,80.0,19.629638991318643,P7->P15->P4->P9->P14->P11->P8->P1->P16->P2->P18->P10->P20->P13->P5->P19->P3->P6->P17->P12
corridor,15,TSP-2opt,20,146.0,343.3333333333333,172.5,203.95848066729226,20.0,28.972172003705055,P12->P7->P6->P2->P1->P19->P3->P20->P11->P9->P14->P13->P5->P16->P8->P15->P4->P18->P17->P10
corridor,15,DRF-RH-Full,20,248.0,513.3333333333333,140.83333333333334,166.9019195944997,20.0,64.05045604333282,P4->P15->P1->P8->P11->P9->P14->P16->P2->P18->P10->P7->P12->P19->P20->P3->P13->P5->P6->P17
corridor,15,DRF-RH-Light,20,226.0,476.66666666666663,140.41666666666669,166.56877175548996,40.0,41.768110007978976,P4->P15->P1->P8->P9->P14->P11->P16->P2->P18->P10->P17->P7->P12->P19->P20->P3->P13->P5->P6
corridor,16,AStarOnly,20,172.0,386.6666666666667,93.88888888888887,194.59091336827598,40.0,21.296045975759625,P6->P11->P4->P13->P20->P14->P17->P12->P16->P19->P3->P2->P9->P5->P8->P1->P10->P18->P7->P15
corridor,16,Proposed-Balanced,20,244.0,506.6666666666667,76.66666666666667,211.46848563741412,40.0,21.52812696294859,P6->P11->P13->P20->P1->P14->P2->P3->P8->P9->P5->P16->P12->P17->P10->P4->P18->P7->P15->P19
corridor,16,RH-Proposed-v2,20,203.0,438.3333333333333,58.888888888888886,175.50067408728114,60.0,457.1356489905156,P11->P6->P14->P20->P2->P3->P8->P5->P13->P1->P10->P4->P18->P15->P7->P17->P16->P12->P19->P9
corridor,16,Priority-Greedy,20,271.0,551.6666666666667,102.77777777777779,238.26287234817477,40.0,21.83547697495669,P11->P2->P8->P14->P1->P6->P20->P13->P5->P3->P19->P18->P15->P7->P4->P10->P17->P16->P12->P9
corridor,16,TSP-2opt,20,146.0,343.3333333333333,149.44444444444443,167.63210303307622,20.0,25.276506028603762,P15->P7->P18->P4->P11->P6->P14->P13->P20->P17->P16->P12->P19->P3->P9->P2->P5->P8->P1->P10
