experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,priority_weighted_completion_time,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,30,187.53739805994425,189.5503541636399,-2.0129561036956907,9.238661358108198,-1.1933995873700964,0.24238486438011034,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,abnormal_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,30,118.41666666666666,122.25,-3.8333333333333344,18.744220054209055,-1.1201336364121837,0.27184813300901134,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,abnormal_priority_rate,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,30,54.166666666666664,52.5,1.6666666666666667,13.02076149405469,0.7010887416930996,0.48883556981941534,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,vehicle_trajectory_length,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoPathPressure,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-NoPathPressure,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,total_path_length,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,30,221.06666666666666,233.83333333333334,-12.766666666666667,16.28344480485145,-4.294294850558443,0.0001789972200001611,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,total_inspection_time,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,30,468.1111111111111,489.3888888888889,-21.27777777777778,27.139074674752433,-4.29429485055844,0.00017899722000016193,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,high_priority_avg_response_time,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,30,138.7098344556678,139.42442480359145,-0.7145903479236826,24.31651538752371,-0.16095943300086638,0.8732414232373648,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,priority_weighted_completion_time,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,30,187.53739805994425,195.30095613605926,-7.7635580761150935,14.293796450008415,-2.97491005952246,0.005853891817311395,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,abnormal_avg_response_time,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,30,118.41666666666666,121.83333333333331,-3.4166666666666665,39.288511867350714,-0.4763187292834229,0.6374165573123605,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,abnormal_priority_rate,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,30,54.166666666666664,51.666666666666664,2.5,18.97139407380091,0.7217742609932384,0.4762130837116392,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,vehicle_trajectory_length,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-ResponseOnly,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-ResponseOnly,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,total_path_length,A-RH-PADS-Full,A-RH-PADS-CostOnly,30,221.06666666666666,189.6,31.466666666666665,25.497441836974254,6.7595028760243965,2.0305093536526243e-07,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,total_inspection_time,A-RH-PADS-Full,A-RH-PADS-CostOnly,30,468.1111111111111,415.66666666666674,52.444444444444464,42.49573639495712,6.759502876024397,2.0305093536526243e-07,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,high_priority_avg_response_time,A-RH-PADS-Full,A-RH-PADS-CostOnly,30,138.7098344556678,158.1382295173962,-19.42839506172839,48.76123319082185,-2.1823423107013626,0.037329995141990105,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,priority_weighted_completion_time,A-RH-PADS-Full,A-RH-PADS-CostOnly,30,187.53739805994425,175.06673746304995,12.47066059689421,14.056005230500798,4.859461848440445,3.748647551034487e-05,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,abnormal_avg_response_time,A-RH-PADS-Full,A-RH-PADS-CostOnly,30,118.41666666666666,149.79166666666663,-31.374999999999993,49.09040330207273,-3.5006425056196258,0.0015218739686064108,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,abnormal_priority_rate,A-RH-PADS-Full,A-RH-PADS-CostOnly,30,54.166666666666664,26.666666666666668,27.5,27.34675168253456,5.507919370552478,6.189594741975075e-06,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,vehicle_trajectory_length,A-RH-PADS-Full,A-RH-PADS-CostOnly,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-CostOnly,vehicle_execution_time,A-RH-PADS-Full,A-RH-PADS-CostOnly,0,,,,,,,skipped
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,total_path_length,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,30,221.06666666666666,259.03333333333336,-37.96666666666667,24.056662039978598,-8.64425818181021,1.612468510897628e-09,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,total_inspection_time,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,30,468.1111111111111,531.3888888888888,-63.27777777777775,40.09443673329765,-8.644258181810208,1.6124685108976335e-09,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,high_priority_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,30,138.7098344556678,159.26816778900113,-20.558333333333337,39.86631912925098,-2.824505285995938,0.008477734545911216,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,priority_weighted_completion_time,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,30,187.53739805994425,220.64892762517047,-33.11152956522628,25.800236421796853,-7.029366460011137,9.899423449017264e-08,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,abnormal_avg_response_time,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,30,118.41666666666666,132.06944444444443,-13.652777777777777,35.245221160084164,-2.12168745587644,0.042531217263791804,significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,abnormal_priority_rate,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,30,54.166666666666664,60.0,-5.833333333333333,23.38151839164537,-1.36648450224478,0.18228925250955863,not_significant
ablation,A-RH-PADS-Full vs A-RH-PADS-NoFinishTimeResponse,vehicle_trajectory_length,A-RH-PADS-Full,A-RH-PADS-NoFinishTimeResponse,0,,,,,,,skipped
