seed,method,completed_task_num,total_planned_path_length,vehicle_trajectory_length,vehicle_execution_time,total_inspection_time,high_priority_avg_response_time,abnormal_avg_response_time,abnormal_priority_rate,heading_change_sum,goal_success_rate,trajectory_to_plan_ratio,failed_task_num,unreachable_task_num,follower_failed_num,adapter_failed_num,task_sequence
8,RH-v2-Light,20,268.0,246.22619942123652,488.7,588.7,35.6,0.0,0.0,182.2463798772851,100.0,0.9187544754523751,0,0,0,0,P4->P19->P11->P18->P17->P10->P12->P7->P14->P9->P16->P13->P20->P3->P8->P6->P5->P15->P2->P1
8,TSP-2opt,20,183.0,158.45560368637175,307.59999999999997,407.6,50.60000000000001,0.0,0.0,101.91079553420411,100.0,0.8658776157725232,0,0,0,0,P6->P4->P15->P5->P19->P13->P20->P16->P2->P9->P14->P7->P10->P12->P1->P17->P18->P8->P3->P11
8,Priority-Greedy,20,302.0,269.0234404094647,526.1,626.1,84.65,0.0,0.0,182.14469436819007,100.0,0.8908060940710751,0,0,0,0,P19->P11->P4->P18->P10->P12->P7->P17->P8->P6->P13->P16->P9->P20->P3->P5->P15->P2->P14->P1
9,AStarOnly,20,166.0,146.1056156154176,294.0,394.0,179.95,0.0,0.0,125.47966583093296,100.0,0.8801543109362506,0,0,0,0,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,Proposed-Balanced,20,189.0,168.34298996671413,337.4,437.3999999999999,181.7375,0.0,0.0,132.97099930905222,100.0,0.8907036506175351,0,0,0,0,P4->P15->P9->P10->P1->P14->P19->P12->P13->P2->P7->P17->P16->P20->P3->P18->P11->P8->P6->P5
9,RH-v2-Light,20,218.0,198.73659511502782,381.1,481.1,127.3375,0.0,0.0,116.35019111477831,100.0,0.9116357574083845,0,0,0,0,P4->P15->P1->P12->P13->P2->P14->P7->P17->P20->P6->P5->P9->P10->P11->P19->P3->P18->P16->P8
9,TSP-2opt,20,166.0,146.1056156154176,294.0,394.0,179.95,0.0,0.0,125.47966583093296,100.0,0.8801543109362506,0,0,0,0,P4->P10->P9->P15->P1->P12->P2->P13->P19->P14->P11->P3->P20->P8->P6->P5->P16->P17->P18->P7
9,Priority-Greedy,20,276.0,258.44990731188034,491.9,591.9,166.7875,0.0,0.0,135.83111436472691,100.0,0.9364127076517403,0,0,0,0,P15->P4->P17->P20->P1->P12->P7->P13->P6->P5->P9->P10->P14->P19->P2->P11->P3->P18->P16->P8
10,AStarOnly,19,121.0,110.32134997141439,228.50000000000003,323.5,186.95714285714283,0.0,0.0,93.57723105524173,100.0,0.9117466939786314,1,0,0,1,P10->P9->P17->P5->P13->P3->P18->P12->P8->P7->P11->P4->P14->P16->P2->P1->P20->P15->P19
10,Proposed-Balanced,19,156.0,143.9021148329373,293.2,388.2000000000001,152.84285714285716,0.0,0.0,110.8779849380755,100.0,0.9224494540572903,1,0,0,1,P13->P5->P10->P9->P17->P7->P8->P11->P4->P2->P20->P1->P16->P14->P19->P15->P3->P18->P12
