experiment,comparison,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,std_diff,t_stat,p_value,conclusion
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,high_priority_top5_rate,DRF-RH-Full,DRF-RH-NoHybridPool,30,59.333333333333336,59.333333333333336,0.0,5.252257314388902,0.0,1.0,not_significant
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,abnormal_avg_response_time,DRF-RH-Full,DRF-RH-NoHybridPool,0,,,,,,,skipped
ablation,DRF-RH-Full vs DRF-RH-NoHybridPool,abnormal_priority_rate,DRF-RH-Full,DRF-RH-NoHybridPool,0,,,,,,,skipped
structured,DRF-RH-Full vs RH-Proposed-v2,total_path_length,DRF-RH-Full,RH-Proposed-v2,60,278.93333333333334,281.96666666666664,-3.033333333333333,27.57422443346947,-0.8521037109740864,0.39760220222553055,not_significant
structured,DRF-RH-Full vs RH-Proposed-v2,total_inspection_time,DRF-RH-Full,RH-Proposed-v2,60,564.8888888888888,569.9444444444446,-5.055555555555565,45.957040722449115,-0.8521037109740882,0.39760220222552956,not_significant
structured,DRF-RH-Full vs RH-Proposed-v2,high_priority_avg_response_time,DRF-RH-Full,RH-Proposed-v2,60,135.60000000000005,139.64930555555554,-4.0493055555555575,25.42247869413511,-1.2337815811791666,0.22217667602927157,not_significant
structured,DRF-RH-Full vs RH-Proposed-v2,priority_weighted_completion_time,DRF-RH-Full,RH-Proposed-v2,60,214.37517098178213,216.0148198487535,-1.6396488669713178,14.298910482116804,-0.8882261013312778,0.37802605093803343,not_significant
structured,DRF-RH-Full vs RH-Proposed-v2,high_priority_top5_rate,DRF-RH-Full,RH-Proposed-v2,60,55.333333333333336,54.666666666666664,0.6666666666666666,10.393392077183291,0.4968520148758507,0.6211397678483228,not_significant
structured,DRF-RH-Full vs RH-Proposed-v2,abnormal_avg_response_time,DRF-RH-Full,RH-Proposed-v2,0,,,,,,,skipped
structured,DRF-RH-Full vs RH-Proposed-v2,abnormal_priority_rate,DRF-RH-Full,RH-Proposed-v2,0,,,,,,,skipped
structured,DRF-RH-Full vs TSP-2opt,total_path_length,DRF-RH-Full,TSP-2opt,60,278.93333333333334,193.35,85.58333333333333,27.574424201721737,24.04132338634449,3.575810704136418e-32,significant
structured,DRF-RH-Full vs TSP-2opt,total_inspection_time,DRF-RH-Full,TSP-2opt,60,564.8888888888888,422.24999999999994,142.63888888888894,45.95737366953621,24.04132338634449,3.575810704136418e-32,significant
structured,DRF-RH-Full vs TSP-2opt,high_priority_avg_response_time,DRF-RH-Full,TSP-2opt,60,135.60000000000005,201.76720679012348,-66.16720679012346,60.54647991196096,-8.46505000243905,8.987552166908953e-12,significant
structured,DRF-RH-Full vs TSP-2opt,priority_weighted_completion_time,DRF-RH-Full,TSP-2opt,60,214.37517098178213,212.65039601737962,1.7247749644025903,25.213514517181096,0.5298765238407992,0.5981860075381586,not_significant
structured,DRF-RH-Full vs TSP-2opt,high_priority_top5_rate,DRF-RH-Full,TSP-2opt,60,55.333333333333336,27.666666666666668,27.666666666666668,23.604557637094953,9.07897033212602,8.439410430897149e-13,significant
structured,DRF-RH-Full vs TSP-2opt,abnormal_avg_response_time,DRF-RH-Full,TSP-2opt,0,,,,,,,skipped
structured,DRF-RH-Full vs TSP-2opt,abnormal_priority_rate,DRF-RH-Full,TSP-2opt,0,,,,,,,skipped
