seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,abnormal_priority_rate,abnormal_avg_response_time,replanning_count,lambda_before_abnormal,lambda_after_abnormal,lambda_change,lambda_mean,lambda_min,lambda_max,lambda_std,algorithm_runtime_ms,task_sequence
24,A-RH-PADS-NoPathPressure,20,212.0,453.33333333333337,153.03030303030306,184.2299150839534,100.0,75.0,67.91666666666669,1,0.7088910436671852,0.8219909712014235,0.11309992753423825,0.7176626515282644,0.628867635772079,0.8219909712014235,0.07730216990763288,66.44377601332963,P6->P14->P10->P2->P8->P19->P11->P17->P15->P9->P16->P13->P1->P18->P5->P7->P4->P3->P20->P12
24,A-RH-PADS-ResponseOnly,20,221.0,468.33333333333337,164.84848484848484,182.42357857267257,100.0,50.0,159.16666666666669,1,0.85,0.85,0.0,0.85,0.85,0.85,0.0,66.70791300712153,P6->P14->P2->P19->P10->P9->P11->P17->P15->P12->P16->P4->P8->P5->P18->P1->P13->P7->P3->P20
24,A-RH-PADS-CostOnly,20,162.0,369.99999999999994,171.81818181818178,156.20159751076235,60.0,50.0,92.91666666666666,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,65.85371500113979,P12->P6->P14->P16->P2->P10->P9->P11->P3->P17->P7->P19->P18->P5->P8->P20->P15->P4->P13->P1
24,A-RH-PADS-NoFinishTimeResponse,20,233.0,488.33333333333337,181.81818181818184,195.21942656301437,100.0,50.0,151.25000000000003,1,0.6351161265678927,0.8057645342171459,0.17064840764925315,0.7227298685118864,0.49281738803202085,0.8057645342171459,0.07237944214996275,65.97824802156538,P6->P14->P2->P19->P9->P17->P11->P10->P16->P12->P15->P4->P8->P5->P18->P1->P13->P7->P3->P20
25,A-RH-PADS-Full,20,226.0,476.66666666666663,167.91666666666666,184.59392458040543,60.0,75.0,53.75000000000001,1,0.6444809927533344,0.7954566601493455,0.1509756673960111,0.6650224063473047,0.5341671249354508,0.8011108214546113,0.09290987123916514,67.30955297825858,P2->P15->P11->P9->P5->P4->P1->P16->P14->P18->P19->P10->P13->P7->P8->P12->P17->P20->P6->P3
25,A-RH-PADS-FixedLambda,20,186.0,410.0,176.45833333333337,184.2582811026899,60.0,100.0,38.74999999999999,1,0.55,0.55,0.0,0.55,0.55,0.55,0.0,65.04314497578889,P2->P15->P11->P5->P9->P14->P4->P6->P1->P16->P3->P18->P19->P10->P13->P8->P7->P12->P20->P17
25,A-RH-PADS-NoUrgencyPressure,20,186.0,410.0,176.45833333333337,184.2582811026899,60.0,100.0,38.74999999999999,1,0.4400497433327473,0.6527862246176412,0.21273648128489392,0.48590506896945507,0.4221999041647305,0.6669189618564015,0.09029543726910542,65.99512498360127,P2->P15->P11->P5->P9->P14->P4->P6->P1->P16->P3->P18->P19->P10->P13->P8->P7->P12->P20->P17
25,A-RH-PADS-NoAbnormalPressure,20,208.0,446.66666666666663,182.0833333333333,192.82030589625364,60.0,100.0,38.74999999999999,1,0.6444809927533344,0.6643217796558238,0.01984078690248947,0.6353601543609962,0.5662992106988808,0.6770039645927564,0.03181155692326597,74.6251160162501,P2->P15->P11->P5->P9->P14->P4->P16->P3->P1->P6->P19->P10->P13->P18->P12->P8->P7->P20->P17
25,A-RH-PADS-NoPathPressure,20,263.0,538.3333333333334,158.75,178.58804976016833,60.0,75.0,53.75000000000001,1,0.7133207267335129,0.8183653104008501,0.10504458366733727,0.7105133030002736,0.5450613260345428,0.8183653104008501,0.08173429108377289,69.03326296014711,P2->P15->P11->P9->P5->P4->P1->P16->P14->P18->P19->P10->P12->P7->P8->P17->P20->P6->P3->P13
25,A-RH-PADS-ResponseOnly,20,254.0,523.3333333333334,161.66666666666669,182.23873525269914,40.0,50.0,101.66666666666669,1,0.85,0.85,0.0,0.85,0.85,0.85,0.0,69.59081499371678,P2->P16->P1->P4->P6->P5->P15->P11->P19->P12->P10->P18->P14->P9->P20->P17->P7->P8->P13->P3
25,A-RH-PADS-CostOnly,20,182.0,403.3333333333333,160.41666666666666,176.10078455204857,80.0,50.0,80.83333333333333,1,0.25,0.25,0.0,0.25,0.25,0.25,0.0,70.9229750209488,P2->P18->P15->P11->P5->P9->P6->P4->P14->P3->P16->P1->P19->P13->P10->P8->P7->P12->P20->P17
25,A-RH-PADS-NoFinishTimeResponse,20,273.0,555.0,172.08333333333331,222.96452432277582,100.0,50.0,92.49999999999997,1,0.6519225956288741,0.7894441669482785,0.13752157131940435,0.6432298533172335,0.4581082240180425,0.7894441669482785,0.11148241747993258,67.7276459755376,P16->P4->P12->P15->P11->P5->P9->P1->P3->P14->P2->P18->P19->P8->P7->P17->P20->P6->P10->P13
