map_width,map_height,obstacle_ratio,task_num,method,completed_task_num_mean,completed_task_num_std,total_path_length_mean,total_path_length_std,total_inspection_time_mean,total_inspection_time_std,high_priority_avg_response_time_mean,high_priority_avg_response_time_std,priority_weighted_completion_time_mean,priority_weighted_completion_time_std,high_priority_top5_rate_mean,high_priority_top5_rate_std,algorithm_runtime_ms_mean,algorithm_runtime_ms_std
50,50,0.3,10,AStarOnly,6.75,4.5523273400016295,145.25,102.20406573435119,275.83333333333337,192.29872898589488,119.47222222222223,114.0450416445919,135.80756105495988,96.14634255051854,15.0,19.330913339165217,20.192997553385794,16.20642869902173
50,50,0.3,10,NNF,6.75,4.5523273400016295,146.3,103.12286999395175,277.58333333333337,193.8110213282622,128.09722222222223,125.6127452490624,140.795029313253,98.78370074000424,14.0,17.290094517412353,20.16430650546681,16.109045442016605
50,50,0.3,10,Proposed-Balanced,6.75,4.5523273400016295,182.95,128.84608320742518,338.6666666666667,236.83808963457375,101.8888888888889,110.88070408917524,152.38044136870806,108.38598779048625,25.0,28.92822333402378,20.35428654635325,16.0113973254696
50,50,0.3,10,RH-Proposed-v2,6.75,4.5523273400016295,164.6,115.1262007766397,308.08333333333337,214.06417781175398,84.1875,87.42985765366704,129.98426526771078,92.00595169364384,28.0,29.30780388260186,314.9322881072294,245.04881878087468
50,50,0.1,20,AStarOnly,20.0,0.0,248.2,26.5302210993227,513.6666666666667,44.21703516553785,207.29252645502646,87.28924901343215,238.81283799622918,30.967197889396076,25.0,20.39091645032686,89.29504039115272,10.324937590178731
50,50,0.1,20,NNF,20.0,0.0,245.55,24.071111753565344,509.25,40.1185195892756,204.74305555555557,85.963795338333,239.6942616535368,32.027031835936185,27.0,20.799797569865156,89.30685174418613,9.900307072277963
50,50,0.1,20,Proposed-Balanced,20.0,0.0,351.0,38.29112855892066,685.0,63.81854759820109,208.03769841269843,81.99680943913857,285.18544075787054,37.846322129942635,45.0,26.655699499159155,91.94618690526113,9.593155281258557
50,50,0.1,20,RH-Proposed-v2,20.0,0.0,330.8,34.74508674088437,651.3333333333334,57.908477901473944,149.05582010582012,71.1061554131989,258.5378373569653,39.88921103652588,51.0,23.81949665825522,1776.794980201521,190.89742118727403
50,50,0.2,20,AStarOnly,19.85,0.36634754853252327,279.65,38.55450687014425,565.3333333333334,64.80650461902472,247.42619047619047,89.11504706441269,252.01531625893864,44.734228404148475,31.0,22.918620331397282,77.39841160655487,17.296708605197463
50,50,0.2,20,NNF,19.85,0.36634754853252327,270.35,32.884606861281654,549.8333333333334,55.22124559363254,250.03829365079366,103.71338386063366,252.7625008528286,42.479848945750796,31.0,21.980852911951395,77.32866970472969,16.87558538624571
50,50,0.2,20,Proposed-Balanced,19.85,0.36634754853252327,389.35,48.359699402661604,748.1666666666666,81.57244833573027,202.9672619047619,72.00011450983666,303.08534961511936,38.9952393069312,54.0,25.214866124653735,80.44301339541562,17.808153418457636
50,50,0.2,20,RH-Proposed-v2,19.85,0.36634754853252327,358.05,29.215127660349633,696.0,49.05957710032931,160.0636904761905,56.59388707145439,271.76200934456887,31.38160890713377,62.0,22.384204957490613,1542.0184280024841,400.1786570500907
50,50,0.3,20,AStarOnly,13.45,9.058145505565696,224.1,154.75886166277488,440.75,302.20847680085416,179.58452380952383,149.27262001728317,205.61501282314535,141.49114850178876,15.0,14.327007988227578,77.78587540378794,61.26782620044444
