seed,method,completed_task_num,total_path_length,total_inspection_time,high_priority_avg_response_time,priority_weighted_completion_time,high_priority_top5_rate,task_sequence
23,RH-Proposed-v1,20,287.0,578.3333333333335,262.70833333333337,254.44219800904315,40.0,P13->P14->P1->P12->P9->P19->P5->P4->P10->P18->P6->P11->P15->P2->P7->P3->P8->P17->P20->P16
23,RH-Proposed-v2,20,229.0,481.66666666666674,136.25000000000003,180.21580004119315,80.0,P15->P19->P1->P13->P12->P4->P20->P10->P5->P9->P8->P14->P18->P6->P11->P17->P3->P2->P7->P16
24,NNF,20,145.0,341.66666666666663,157.57575757575756,145.61797917376578,60.0,P12->P6->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P8->P19->P7->P4->P13->P1->P18->P5
24,AStarOnly,20,154.0,356.66666666666674,164.54545454545453,150.66922791004328,60.0,P6->P12->P14->P16->P10->P9->P3->P11->P17->P15->P20->P2->P4->P7->P19->P5->P18->P8->P13->P1
24,Proposed-Balanced,20,213.0,455.00000000000006,178.18181818181816,175.2937517948672,60.0,P6->P12->P14->P16->P2->P17->P11->P19->P10->P9->P15->P4->P8->P18->P5->P1->P13->P7->P3->P20
24,RH-Proposed-v1,20,218.0,463.3333333333333,256.6666666666667,238.9892206372549,40.0,P2->P17->P11->P3->P10->P14->P16->P6->P12->P1->P13->P19->P9->P15->P20->P8->P4->P7->P5->P18
24,RH-Proposed-v2,20,227.0,478.3333333333334,134.84848484848484,175.05307267436564,100.0,P6->P14->P10->P2->P8->P19->P11->P9->P17->P15->P4->P18->P5->P1->P13->P16->P12->P20->P3->P7
25,NNF,20,182.0,403.33333333333326,172.29166666666666,178.12197683032986,40.0,P18->P2->P14->P4->P6->P9->P5->P11->P15->P19->P10->P13->P12->P7->P8->P20->P17->P1->P16->P3
25,AStarOnly,20,184.0,406.6666666666666,148.74999999999997,166.02857600162218,60.0,P2->P18->P15->P11->P19->P5->P9->P14->P4->P6->P1->P16->P3->P20->P17->P12->P10->P13->P7->P8
25,Proposed-Balanced,20,263.0,538.3333333333333,175.41666666666666,187.48871086722426,60.0,P2->P18->P16->P1->P4->P15->P19->P11->P5->P9->P12->P7->P8->P10->P6->P3->P14->P20->P17->P13
